#298.15 -> 2000 for radius = 0.0001 for material: Железо
        Counter |            Time |        Velocity |                  Distance |     Temperature
74763.00        | 0.91            | 7.33            | 4.02                      | 1441.08        
75686.00        | 0.92            | 7.42            | 4.12                      | 1448.72        
76609.00        | 0.93            | 7.52            | 4.22                      | 1456.24        
77532.00        | 0.94            | 7.61            | 4.32                      | 1463.67        
78455.00        | 0.95            | 7.70            | 4.43                      | 1470.99        
79378.00        | 0.96            | 7.79            | 4.53                      | 1478.22        
80301.00        | 0.97            | 7.88            | 4.64                      | 1485.33        
81224.00        | 0.98            | 7.97            | 4.74                      | 1492.37        
82147.00        | 0.99            | 8.06            | 4.85                      | 1499.29        
83070.00        | 1.01            | 8.15            | 4.96                      | 1506.13        
83993.00        | 1.02            | 8.24            | 5.07                      | 1512.87        
84916.00        | 1.03            | 8.33            | 5.19                      | 1519.53        
85839.00        | 1.04            | 8.42            | 5.30                      | 1526.08        
86762.00        | 1.05            | 8.51            | 5.41                      | 1532.56        
87685.00        | 1.06            | 8.60            | 5.53                      | 1538.93        
88608.00        | 1.07            | 8.69            | 5.65                      | 1545.23        
89531.00        | 1.08            | 8.78            | 5.76                      | 1551.43        
90454.00        | 1.10            | 8.87            | 5.88                      | 1557.56        
91377.00        | 1.11            | 8.96            | 6.00                      | 1563.60        
92300.00        | 1.12            | 9.05            | 6.13                      | 1569.56        
93223.00        | 1.13            | 9.15            | 6.25                      | 1575.43        
94146.00        | 1.14            | 9.24            | 6.37                      | 1581.24        
95069.00        | 1.15            | 9.33            | 6.50                      | 1586.95        
95992.00        | 1.16            | 9.42            | 6.63                      | 1592.59        
96915.00        | 1.17            | 9.51            | 6.75                      | 1598.15        
97838.00        | 1.18            | 9.60            | 6.88                      | 1603.64        
98761.00        | 1.20            | 9.69            | 7.01                      | 1609.05        
99684.00        | 1.21            | 9.78            | 7.15                      | 1614.39        
100607.00       | 1.22            | 9.87            | 7.28                      | 1619.65        
101530.00       | 1.23            | 9.96            | 7.41                      | 1624.85        
102453.00       | 1.24            | 10.05           | 7.55                      | 1629.96        
103376.00       | 1.25            | 10.14           | 7.69                      | 1635.02        
104299.00       | 1.26            | 10.23           | 7.82                      | 1640.00        
105222.00       | 1.27            | 10.32           | 7.96                      | 1644.92        
106145.00       | 1.29            | 10.41           | 8.10                      | 1649.76        
107068.00       | 1.30            | 10.50           | 8.24                      | 1654.55        
107991.00       | 1.31            | 10.59           | 8.39                      | 1659.26        
108914.00       | 1.32            | 10.68           | 8.53                      | 1663.91        
109837.00       | 1.33            | 10.78           | 8.68                      | 1668.50        
110760.00       | 1.34            | 10.87           | 8.82                      | 1673.03        
111683.00       | 1.35            | 10.96           | 8.97                      | 1677.49        
112606.00       | 1.36            | 11.05           | 9.12                      | 1681.90        
113529.00       | 1.37            | 11.14           | 9.27                      | 1686.23        
114452.00       | 1.39            | 11.23           | 9.42                      | 1690.52        
115375.00       | 1.40            | 11.32           | 9.57                      | 1694.74        
116298.00       | 1.41            | 11.41           | 9.73                      | 1698.91        
117221.00       | 1.42            | 11.50           | 9.88                      | 1703.02        
118144.00       | 1.43            | 11.59           | 10.04                     | 1707.08        
119067.00       | 1.44            | 11.68           | 10.20                     | 1711.07        
119990.00       | 1.45            | 11.77           | 10.35                     | 1715.02        
120913.00       | 1.46            | 11.86           | 10.51                     | 1718.91        
121836.00       | 1.48            | 11.95           | 10.68                     | 1722.75        
122759.00       | 1.49            | 12.04           | 10.84                     | 1726.53        
123682.00       | 1.50            | 12.13           | 11.00                     | 1730.27        
124605.00       | 1.51            | 12.22           | 11.17                     | 1733.95        
125528.00       | 1.52            | 12.31           | 11.33                     | 1737.58        
126451.00       | 1.53            | 12.40           | 11.50                     | 1741.16        
127374.00       | 1.54            | 12.50           | 11.67                     | 1744.70        
128297.00       | 1.55            | 12.59           | 11.84                     | 1748.18        
129220.00       | 1.56            | 12.68           | 12.01                     | 1751.62        
130143.00       | 1.58            | 12.77           | 12.18                     | 1755.01        
131066.00       | 1.59            | 12.86           | 12.35                     | 1758.36        
131989.00       | 1.60            | 12.95           | 12.53                     | 1761.65        
132912.00       | 1.61            | 13.06           | 12.71                     | 1764.91        
133835.00       | 1.62            | 13.17           | 12.88                     | 1768.12        
134758.00       | 1.63            | 13.28           | 13.06                     | 1771.29        
135681.00       | 1.64            | 13.39           | 13.24                     | 1774.41        
136604.00       | 1.65            | 13.50           | 13.42                     | 1777.49        
137527.00       | 1.67            | 13.62           | 13.60                     | 1780.52        
138450.00       | 1.68            | 13.75           | 13.79                     | 1783.52        
139373.00       | 1.69            | 13.88           | 13.97                     | 1786.48        
140296.00       | 1.70            | 14.01           | 14.16                     | 1789.39        
141219.00       | 1.71            | 14.14           | 14.34                     | 1792.27        
142142.00       | 1.72            | 14.30           | 14.53                     | 1795.11        
143065.00       | 1.73            | 14.46           | 14.72                     | 1797.90        
143988.00       | 1.74            | 14.61           | 14.91                     | 1800.66        
144911.00       | 1.75            | 14.78           | 15.10                     | 1803.38        
145834.00       | 1.77            | 14.96           | 15.30                     | 1806.07        
146757.00       | 1.78            | 15.15           | 15.49                     | 1808.71        
147680.00       | 1.79            | 15.34           | 15.69                     | 1811.33        
148603.00       | 1.80            | 15.57           | 15.88                     | 1813.90        
149526.00       | 1.81            | 15.79           | 16.08                     | 1816.44        
150449.00       | 1.82            | 16.03           | 16.28                     | 1818.95        
151372.00       | 1.83            | 16.30           | 16.48                     | 1821.42        
152295.00       | 1.84            | 16.58           | 16.68                     | 1823.86        
153218.00       | 1.86            | 16.91           | 16.88                     | 1826.26        
154141.00       | 1.87            | 17.25           | 17.09                     | 1828.63        
155064.00       | 1.88            | 17.64           | 17.29                     | 1830.98        
155987.00       | 1.89            | 18.09           | 17.50                     | 1833.28        
156910.00       | 1.90            | 18.60           | 17.71                     | 1835.56        
157833.00       | 1.91            | 19.21           | 17.92                     | 1837.80        
158756.00       | 1.92            | 19.95           | 18.13                     | 1840.02        
159679.00       | 1.93            | 20.88           | 18.34                     | 1842.20        
160602.00       | 1.94            | 21.85           | 18.55                     | 1844.36        
161525.00       | 1.96            | 22.82           | 18.76                     | 1846.48        
162448.00       | 1.97            | 23.78           | 18.98                     | 1848.58        
163371.00       | 1.98            | 24.75           | 19.20                     | 1850.64        
164294.00       | 1.99            | 25.72           | 19.41                     | 1852.68        
165217.00       | 2.00            | 26.69           | 19.63                     | 1854.69        
166140.00       | 2.01            | 27.66           | 19.85                     | 1856.68        
167063.00       | 2.02            | 28.63           | 20.07                     | 1858.63        
167986.00       | 2.03            | 29.60           | 20.30                     | 1860.57        
168909.00       | 2.05            | 30.57           | 20.52                     | 1862.47        
169832.00       | 2.06            | 31.53           | 20.74                     | 1864.35        
170755.00       | 2.07            | 32.50           | 20.97                     | 1866.20        
171678.00       | 2.08            | 33.47           | 21.20                     | 1868.03        
172601.00       | 2.09            | 34.44           | 21.43                     | 1869.83        
173524.00       | 2.10            | 35.41           | 21.66                     | 1871.60        
174447.00       | 2.11            | 36.38           | 21.89                     | 1873.36        
175370.00       | 2.12            | 37.35           | 22.12                     | 1875.09        
176293.00       | 2.13            | 38.32           | 22.35                     | 1876.79        
177216.00       | 2.15            | 39.29           | 22.59                     | 1878.47        
178139.00       | 2.16            | 40.25           | 22.82                     | 1880.13        
179062.00       | 2.17            | 41.22           | 23.06                     | 1881.77        
179985.00       | 2.18            | 42.19           | 23.30                     | 1883.38        
180908.00       | 2.19            | 43.16           | 23.54                     | 1884.98        
181831.00       | 2.20            | 44.13           | 23.78                     | 1886.54        
182754.00       | 2.21            | 45.10           | 24.02                     | 1888.09        
183677.00       | 2.22            | 46.07           | 24.26                     | 1889.62        
184600.00       | 2.24            | 47.04           | 24.51                     | 1891.13        
185523.00       | 2.25            | 48.00           | 24.75                     | 1892.61        
186446.00       | 2.26            | 48.97           | 25.00                     | 1894.08        
187369.00       | 2.27            | 49.94           | 25.25                     | 1895.53        
188292.00       | 2.28            | 50.91           | 25.50                     | 1896.95        
189215.00       | 2.29            | 51.88           | 25.75                     | 1898.36        
190138.00       | 2.30            | 52.85           | 26.00                     | 1899.75        
191061.00       | 2.31            | 53.82           | 26.25                     | 1901.12        
191984.00       | 2.32            | 54.79           | 26.51                     | 1902.47        
192907.00       | 2.34            | 55.75           | 26.76                     | 1903.80        
193830.00       | 2.35            | 56.72           | 27.02                     | 1905.11        
194753.00       | 2.36            | 57.69           | 27.28                     | 1906.41        
195676.00       | 2.37            | 58.66           | 27.54                     | 1907.69        
196599.00       | 2.38            | 59.63           | 27.80                     | 1908.94        
197522.00       | 2.39            | 60.60           | 28.06                     | 1910.19        
198445.00       | 2.40            | 61.57           | 28.32                     | 1911.41        
199368.00       | 2.41            | 62.54           | 28.59                     | 1912.62        
200291.00       | 2.43            | 63.50           | 28.85                     | 1913.82        
201214.00       | 2.44            | 64.47           | 29.12                     | 1914.99        
202137.00       | 2.45            | 65.44           | 29.39                     | 1916.15        
203060.00       | 2.46            | 66.41           | 29.65                     | 1917.30        
203983.00       | 2.47            | 67.38           | 29.92                     | 1918.43        
204906.00       | 2.48            | 68.35           | 30.20                     | 1919.54        
205829.00       | 2.49            | 69.32           | 30.47                     | 1920.64        
206752.00       | 2.50            | 70.29           | 30.74                     | 1921.72        
207675.00       | 2.51            | 71.25           | 31.02                     | 1922.79        
208598.00       | 2.53            | 72.22           | 31.29                     | 1923.85        
209521.00       | 2.54            | 73.19           | 31.57                     | 1924.88        
210444.00       | 2.55            | 74.16           | 31.85                     | 1925.91        
211367.00       | 2.56            | 75.13           | 32.13                     | 1926.92        
212290.00       | 2.57            | 76.10           | 32.41                     | 1927.92        
213213.00       | 2.58            | 77.07           | 32.69                     | 1928.90        
214136.00       | 2.59            | 78.04           | 32.98                     | 1929.88        
215059.00       | 2.60            | 79.01           | 33.26                     | 1930.83        
215982.00       | 2.62            | 79.97           | 33.55                     | 1931.78        
216905.00       | 2.63            | 80.94           | 33.84                     | 1932.71        
217828.00       | 2.64            | 81.91           | 34.13                     | 1933.63        
218751.00       | 2.65            | 82.88           | 34.41                     | 1934.53        
219674.00       | 2.66            | 83.85           | 34.71                     | 1935.43        
220597.00       | 2.67            | 84.82           | 35.00                     | 1936.31        
221520.00       | 2.68            | 85.79           | 35.29                     | 1937.18        
222443.00       | 2.69            | 86.76           | 35.59                     | 1938.03        
223366.00       | 2.70            | 87.72           | 35.88                     | 1938.88        
224289.00       | 2.72            | 88.69           | 36.18                     | 1939.72        
225212.00       | 2.73            | 89.66           | 36.48                     | 1940.54        
226135.00       | 2.74            | 90.63           | 36.78                     | 1941.35        
227058.00       | 2.75            | 91.60           | 37.08                     | 1942.15        
227981.00       | 2.76            | 92.57           | 37.38                     | 1942.94        
228157.00       | 2.98            | 92.75           | 43.67                     | 2000.00        




#298.15 -> 2000 for radius =   0.01 for material: Медь
        Counter |            Time |        Velocity |                  Distance |     Temperature
                |                 |                 |                           |                
0               | 0.00            | 0.00            | 0.00                      | 298.38         
923.00          | 0.90            | 0.09            | 3.94                      | 399.12         
1846.00         | 1.79            | 0.18            | 15.79                     | 494.10         
2769.00         | 2.69            | 0.27            | 35.51                     | 583.26         
3692.00         | 3.59            | 0.36            | 63.18                     | 667.32         
4615.00         | 4.49            | 0.45            | 98.67                     | 746.22         
5538.00         | 5.38            | 0.54            | 142.15                    | 820.61         
6461.00         | 6.28            | 0.63            | 193.42                    | 890.44         
7384.00         | 7.18            | 0.72            | 252.71                    | 956.27         
8307.00         | 8.07            | 0.82            | 319.75                    | 1018.07        
9230.00         | 8.97            | 0.91            | 394.85                    | 1076.33        
10153.00        | 9.87            | 1.00            | 477.68                    | 1131.01        
11076.00        | 10.77           | 1.09            | 568.59                    | 1182.57        
11999.00        | 11.66           | 1.18            | 667.19                    | 1230.97        
12922.00        | 12.56           | 1.27            | 773.91                    | 1276.60        
13845.00        | 13.46           | 1.36            | 888.29                    | 1319.43        
14768.00        | 14.36           | 1.45            | 1010.83                   | 1359.81        
15691.00        | 15.25           | 1.54            | 1140.98                   | 1397.71        
16614.00        | 16.15           | 1.63            | 1279.33                   | 1433.44        
17537.00        | 17.05           | 1.72            | 1425.26                   | 1466.99        
18460.00        | 17.94           | 1.81            | 1579.42                   | 1498.61        
19383.00        | 18.84           | 1.90            | 1741.13                   | 1528.30        
20306.00        | 19.74           | 1.99            | 1911.09                   | 1556.28        
21229.00        | 20.64           | 2.08            | 2088.58                   | 1582.56        
22152.00        | 21.53           | 2.17            | 2274.36                   | 1607.32        
23075.00        | 22.43           | 2.26            | 2467.62                   | 1630.57        
23998.00        | 23.33           | 2.35            | 2669.21                   | 1652.49        
24921.00        | 24.22           | 2.44            | 2878.25                   | 1673.07        
25844.00        | 25.12           | 2.54            | 3095.65                   | 1692.46        
26767.00        | 26.02           | 2.63            | 3320.47                   | 1710.67        
27690.00        | 26.92           | 2.72            | 3553.69                   | 1727.84        
28613.00        | 27.81           | 2.81            | 3794.28                   | 1743.95        
29536.00        | 28.71           | 2.90            | 4043.30                   | 1759.14        
30459.00        | 29.61           | 2.99            | 4299.68                   | 1773.40        
31382.00        | 30.51           | 3.08            | 4564.51                   | 1786.85        
32305.00        | 31.40           | 3.17            | 4836.66                   | 1799.47        
33228.00        | 32.30           | 3.26            | 5117.31                   | 1811.37        
34151.00        | 33.20           | 3.35            | 5405.23                   | 1822.53        
35074.00        | 34.09           | 3.44            | 5701.69                   | 1833.06        
35997.00        | 34.99           | 3.53            | 6005.39                   | 1842.95        
36920.00        | 35.89           | 3.62            | 6317.66                   | 1852.26        
37843.00        | 36.79           | 3.71            | 6637.14                   | 1861.01        
38766.00        | 37.68           | 3.80            | 6965.22                   | 1869.26        
39689.00        | 38.58           | 3.89            | 7300.48                   | 1877.00        
40612.00        | 39.48           | 3.98            | 7644.37                   | 1884.30        
41535.00        | 40.37           | 4.09            | 7995.41                   | 1891.15        
42458.00        | 41.27           | 4.20            | 8355.11                   | 1897.61        
43381.00        | 42.17           | 4.35            | 8721.92                   | 1903.67        
44304.00        | 43.07           | 4.52            | 9097.43                   | 1909.38        
45227.00        | 43.96           | 4.74            | 9480.02                   | 1914.75        
46150.00        | 44.86           | 5.07            | 9871.35                   | 1919.81        
47073.00        | 45.76           | 5.68            | 10269.71                  | 1924.55        
47996.00        | 46.66           | 6.64            | 10676.85                  | 1929.03        
48919.00        | 47.55           | 7.61            | 11090.99                  | 1933.23        
49842.00        | 48.45           | 8.58            | 11513.94                  | 1937.19        
50765.00        | 49.35           | 9.55            | 11943.86                  | 1940.91        
51688.00        | 50.24           | 10.52           | 12382.62                  | 1944.42        
52611.00        | 51.14           | 11.49           | 12828.32                  | 1947.71        
53534.00        | 52.04           | 12.46           | 13282.89                  | 1950.81        
54457.00        | 52.93           | 13.43           | 13744.36                  | 1953.72        
55380.00        | 53.83           | 14.39           | 14214.74                  | 1956.47        
56303.00        | 54.73           | 15.36           | 14691.99                  | 1959.05        
57226.00        | 55.63           | 16.33           | 15178.18                  | 1961.48        
58149.00        | 56.52           | 17.30           | 15671.21                  | 1963.76        
59072.00        | 57.42           | 18.27           | 16173.22                  | 1965.91        
59995.00        | 58.32           | 19.24           | 16682.02                  | 1967.93        
60918.00        | 59.22           | 20.21           | 17199.84                  | 1969.83        
61549.00        | 67.13           | 20.87           | 22104.78                  | 2000.00        




