#298.15 -> 2000 for radius = 0.0001 for material: Железо
        Counter |            Time |        Velocity |                  Distance |     Temperature
80301.00        | 1.04            | 7.88            | 5.31                      | 1237.11        
81224.00        | 1.05            | 7.97            | 5.44                      | 1244.12        
82147.00        | 1.06            | 8.06            | 5.56                      | 1251.05        
83070.00        | 1.08            | 8.15            | 5.69                      | 1257.93        
83993.00        | 1.09            | 8.24            | 5.81                      | 1264.74        
84916.00        | 1.10            | 8.33            | 5.94                      | 1271.50        
85839.00        | 1.11            | 8.42            | 6.07                      | 1278.18        
86762.00        | 1.12            | 8.51            | 6.20                      | 1284.81        
87685.00        | 1.14            | 8.60            | 6.34                      | 1291.37        
88608.00        | 1.15            | 8.69            | 6.47                      | 1297.88        
89531.00        | 1.16            | 8.78            | 6.60                      | 1304.32        
90454.00        | 1.17            | 8.87            | 6.74                      | 1310.71        
91377.00        | 1.18            | 8.96            | 6.88                      | 1317.03        
92300.00        | 1.20            | 9.05            | 7.02                      | 1323.31        
93223.00        | 1.21            | 9.15            | 7.16                      | 1329.51        
94146.00        | 1.22            | 9.24            | 7.30                      | 1335.68        
95069.00        | 1.23            | 9.33            | 7.45                      | 1341.77        
95992.00        | 1.24            | 9.42            | 7.59                      | 1347.82        
96915.00        | 1.26            | 9.51            | 7.74                      | 1353.80        
97838.00        | 1.27            | 9.60            | 7.89                      | 1359.74        
98761.00        | 1.28            | 9.69            | 8.04                      | 1365.61        
99684.00        | 1.29            | 9.78            | 8.19                      | 1371.44        
100607.00       | 1.30            | 9.87            | 8.34                      | 1377.20        
101530.00       | 1.32            | 9.96            | 8.49                      | 1382.92        
102453.00       | 1.33            | 10.05           | 8.65                      | 1388.58        
103376.00       | 1.34            | 10.14           | 8.81                      | 1394.20        
104299.00       | 1.35            | 10.23           | 8.96                      | 1399.76        
105222.00       | 1.36            | 10.32           | 9.12                      | 1405.27        
106145.00       | 1.38            | 10.41           | 9.28                      | 1410.73        
107068.00       | 1.39            | 10.50           | 9.45                      | 1416.14        
107991.00       | 1.40            | 10.59           | 9.61                      | 1421.50        
108914.00       | 1.41            | 10.68           | 9.77                      | 1426.81        
109837.00       | 1.42            | 10.78           | 9.94                      | 1432.07        
110760.00       | 1.44            | 10.87           | 10.11                     | 1437.29        
111683.00       | 1.45            | 10.96           | 10.28                     | 1442.45        
112606.00       | 1.46            | 11.05           | 10.45                     | 1447.57        
113529.00       | 1.47            | 11.14           | 10.62                     | 1452.64        
114452.00       | 1.48            | 11.23           | 10.79                     | 1457.67        
115375.00       | 1.50            | 11.32           | 10.97                     | 1462.64        
